epoch,lr,train_loss,train_accuracy,train_auc,train_f1,val_loss,val_accuracy,val_auc,val_f1,val_loc_error_mean_mm,val_loc_error_median_mm
1.0,0.0005,0.6957210368580289,0.5434782608695652,0.5283849243856332,0.657608695652174,0.6455996235211691,0.6703910614525139,0.7105042016806723,0.8013468013468014,1.6877012589648992,1.4224263429641724
2.0,0.0005,0.6415714621543884,0.6666666666666666,0.6656574905482042,0.8,0.6225649118423462,0.664804469273743,0.8060224089635855,0.7986577181208053,1.3471971563681835,1.1614679098129272
3.0,0.0005,0.6193989515304565,0.6666666666666666,0.7703213610586012,0.8,0.5972761114438375,0.664804469273743,0.850420168067227,0.7986577181208053,1.1887959687649703,0.9635574221611023
4.0,0.0005,0.5814758472972446,0.6829710144927537,0.8502776465028355,0.8079034028540066,0.553767740726471,0.7150837988826816,0.8745098039215686,0.8235294117647058,1.2869201183569532,1.1382625102996826
5.0,0.0005,0.5264670782619052,0.7807971014492754,0.8834327741020794,0.8571428571428571,0.5029630760351816,0.7988826815642458,0.8771708683473389,0.8571428571428571,1.6067655702598957,1.3337970972061157
6.0,0.0005,0.47323038511806065,0.8586956521739131,0.8950112240075615,0.9010152284263959,0.46654149889945984,0.8100558659217877,0.8889355742296919,0.860655737704918,1.5678921423288954,1.3603570461273193
7.0,0.0005,0.42305634419123334,0.8840579710144928,0.8946272448015125,0.9168831168831169,0.44375379880269367,0.8212290502793296,0.899859943977591,0.8699186991869918,1.2930557430416596,1.091929316520691
8.0,0.0005,0.3875453041659461,0.8804347826086957,0.9146532372400755,0.9136125654450262,0.42139939467112225,0.8212290502793296,0.8935574229691877,0.865546218487395,1.2050354663564378,0.9887604713439941
9.0,0.0005,0.35590222146775985,0.8894927536231884,0.9225395793950851,0.9206762028608583,0.4188475012779236,0.8044692737430168,0.9070028011204482,0.8582995951417004,1.1160695155879028,0.9345446228981018
10.0,0.0005,0.34168052011066014,0.8894927536231884,0.9320504489603025,0.9200524246395806,0.3852131466070811,0.8435754189944135,0.9109243697478991,0.8813559322033898,1.034963777147922,0.8115726709365845
11.0,0.0005,0.322397627764278,0.9021739130434783,0.9350336720226843,0.9287598944591029,0.3832348386446635,0.8212290502793296,0.9215686274509803,0.8688524590163934,0.9822883431275352,0.7901721596717834
12.0,0.0005,0.3119670997063319,0.8913043478260869,0.9364662098298677,0.9195710455764075,0.38883939385414124,0.8212290502793296,0.9288515406162465,0.8688524590163934,0.9162604163925187,0.7336991429328918
13.0,0.0005,0.3097276058461931,0.8931159420289855,0.9411330340264651,0.9232769830949284,0.36630897720654804,0.8603351955307262,0.919187675070028,0.8917748917748918,1.038978004906358,0.8973026871681213
14.0,0.0005,0.28079383075237274,0.9130434782608695,0.9557390122873346,0.9349593495934959,0.36845936874548596,0.8491620111731844,0.9280112044817928,0.8851063829787233,0.8985756653196671,0.7214810848236084
15.0,0.0005,0.2691862963967853,0.9184782608695652,0.9481037334593572,0.9408672798948752,0.35688383380572003,0.8659217877094972,0.9282913165266106,0.8956521739130435,1.018244683930353,0.833296537399292
16.0,0.0005,0.3023635778162215,0.8876811594202898,0.9466859640831757,0.9131652661064426,0.35169849296410877,0.8603351955307262,0.9310924369747899,0.8917748917748918,0.9547576744015477,0.8134640455245972
17.0,0.0005,0.2772118349870046,0.9130434782608695,0.9483547967863895,0.9365079365079365,0.3714531014362971,0.8603351955307262,0.9366946778711485,0.8962655601659751,0.8510451842756832,0.6505700349807739
